kebangsaan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Sao Tome & Principe,0,0,1,0,1,0,0,1,2,10,0,0,0
Senegal,4,25,19,18,27,21,13,45,19,25,83,-,-
Seychelles,17,2,15,19,25,14,12,10,23,17,7,-,-
Sierra Leona,2,7,15,7,4,9,12,7,11,4,5,-,-
Somalia,10,12,4,15,10,9,13,17,9,11,6,-,-
Sudan,186,176,85,46,69,79,109,153,131,135,180,-,-
South Sudan,1,1,3,2,1,2,3,36,5,1,2,-,-
Swaziland,5,5,10,3,7,2,10,-,6,8,4,-,-
Tanzania,41,44,61,50,57,78,72,61,122,101,148,-,-
Togo,1,3,5,9,2,6,7,4,7,7,7,0,0
Tunisia,222,295,292,220,800,517,1163,1684,1383,820,558,-,-
Uganda,22,17,28,15,21,45,43,26,54,28,43,-,-
Zaire,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,12,6,15,11,17,26,11,37,10,24,31,-,-
Zimbabwe,60,59,68,56,102,73,75,133,108,108,85,-,-
Zomba,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL AFRICA,3621,3569,4408,4449,5394,5964,7341,8400,7550,7162,5614,-,-
GRAND TOTAL,735947,701931,869243,865810,953713,1062789,1121189,1132638,1070245,978499,917407,-,-
